Ball Handling,Footwork,Attacking,Defending,Shooting,position
80,81,100,70,89,Goal Attack
85,84,95,70,86,Goal Attack
82,85,95,74,90,Goal Attack
89,89,97,79,88,Goal Attack
89,82,97,70,87,Goal Attack
90,96,96,76,81,Goal Attack
93,98,93,71,88,Goal Attack
100,95,100,75,82,Goal Attack
100,80,100,72,81,Goal Attack
80,99,93,71,84,Goal Attack
84,87,96,80,87,Goal Attack
99,92,98,76,84,Goal Attack
93,99,95,76,81,Goal Attack
98,91,96,73,88,Goal Attack
97,100,94,72,88,Goal Attack
94,94,94,72,85,Goal Attack
97,92,99,75,85,Goal Attack
90,100,100,72,85,Goal Attack
94,99,95,76,81,Goal Attack
87,94,98,70,83,Goal Attack
93,84,98,75,89,Goal Attack
83,98,91,76,86,Goal Attack
88,88,99,79,88,Goal Attack
93,88,91,71,86,Goal Attack
99,92,91,78,87,Goal Attack
97,97,96,71,83,Goal Attack
92,99,93,73,84,Goal Attack
90,87,98,80,81,Goal Attack
91,99,97,80,81,Goal Attack
92,93,93,72,88,Goal Attack
82,99,97,73,82,Goal Attack
88,91,100,70,85,Goal Attack
91,98,91,75,82,Goal Attack
92,87,95,72,80,Goal Attack
97,94,98,77,82,Goal Attack
90,98,97,80,80,Goal Attack
100,95,93,79,83,Goal Attack
84,80,91,78,87,Goal Attack
81,85,97,74,86,Goal Attack
88,88,91,71,88,Goal Attack
98,92,96,75,85,Goal Attack
83,100,94,80,90,Goal Attack
86,90,99,74,85,Goal Attack
86,83,96,79,81,Goal Attack
84,85,90,70,84,Goal Attack
94,88,91,74,88,Goal Attack
98,94,96,80,89,Goal Attack
92,84,99,71,85,Goal Attack
80,82,92,73,84,Goal Attack
83,86,90,79,88,Goal Attack
80,88,90,80,85,Goal Attack
100,90,90,73,86,Goal Attack
87,90,96,70,88,Goal Attack
90,83,95,76,89,Goal Attack
99,90,93,70,85,Goal Attack
80,100,93,79,82,Goal Attack
95,82,99,70,87,Goal Attack
83,84,100,79,87,Goal Attack
83,99,95,77,81,Goal Attack
98,98,99,72,88,Goal Attack
91,93,93,70,88,Goal Attack
98,80,95,72,86,Goal Attack
90,89,99,72,83,Goal Attack
80,87,98,77,89,Goal Attack
93,81,92,80,89,Goal Attack
82,86,99,78,87,Goal Attack
99,83,98,80,90,Goal Attack
91,89,98,78,88,Goal Attack
88,90,100,79,88,Goal Attack
99,97,100,70,85,Goal Attack
92,89,99,70,81,Goal Attack
80,98,92,73,83,Goal Attack
99,90,94,74,80,Goal Attack
98,95,93,73,80,Goal Attack
97,97,90,73,87,Goal Attack
92,99,99,78,87,Goal Attack
86,96,99,77,84,Goal Attack
96,85,99,73,82,Goal Attack
81,85,100,74,86,Goal Attack
85,97,99,72,84,Goal Attack
93,94,93,77,80,Goal Attack
84,96,98,76,89,Goal Attack
86,82,93,74,85,Goal Attack
90,96,98,73,81,Goal Attack
90,85,90,73,86,Goal Attack
88,92,90,79,90,Goal Attack
99,98,95,72,83,Goal Attack
83,98,90,80,87,Goal Attack
88,94,96,73,90,Goal Attack
88,93,92,76,89,Goal Attack
90,86,98,75,82,Goal Attack
88,82,100,72,81,Goal Attack
87,85,94,70,80,Goal Attack
89,83,92,72,85,Goal Attack
83,92,90,74,89,Goal Attack
100,90,90,77,84,Goal Attack
82,90,90,71,88,Goal Attack
96,97,92,72,84,Goal Attack
83,90,92,71,85,Goal Attack
81,99,96,72,86,Goal Attack
97,85,90,76,82,Goal Attack
97,93,100,75,86,Goal Attack
80,86,96,75,89,Goal Attack
88,95,99,78,88,Goal Attack
93,82,95,77,89,Goal Attack
80,87,99,75,82,Goal Attack
90,85,95,70,83,Goal Attack
96,94,96,72,80,Goal Attack
80,81,96,80,84,Goal Attack
81,96,100,75,80,Goal Attack
90,84,100,76,80,Goal Attack
94,98,91,73,80,Goal Attack
89,96,93,75,86,Goal Attack
91,91,95,71,86,Goal Attack
91,85,94,70,82,Goal Attack
82,86,94,76,90,Goal Attack
97,80,96,77,86,Goal Attack
82,83,92,74,80,Goal Attack
89,86,91,73,80,Goal Attack
83,87,95,80,88,Goal Attack
85,80,100,77,80,Goal Attack
94,93,92,72,84,Goal Attack
96,92,95,70,90,Goal Attack
80,81,90,73,81,Goal Attack
86,98,96,78,85,Goal Attack
80,97,96,74,88,Goal Attack
100,89,99,76,83,Goal Attack
93,100,96,79,80,Goal Attack
98,88,94,78,81,Goal Attack
92,99,98,75,84,Goal Attack
98,98,90,79,90,Goal Attack
86,92,100,74,86,Goal Attack
85,90,91,72,87,Goal Attack
89,98,100,79,85,Goal Attack
89,92,99,73,90,Goal Attack
99,91,90,72,88,Goal Attack
87,82,97,77,81,Goal Attack
88,98,90,80,89,Goal Attack
87,96,91,71,86,Goal Attack
81,82,96,72,87,Goal Attack
80,99,100,72,89,Goal Attack
84,80,96,79,90,Goal Attack
91,83,100,70,82,Goal Attack
99,87,94,79,85,Goal Attack
82,88,97,71,87,Goal Attack
98,91,100,72,85,Goal Attack
94,99,96,80,88,Goal Attack
88,95,99,76,86,Goal Attack
91,90,92,71,86,Goal Attack
90,96,94,78,89,Goal Attack
80,100,93,78,90,Goal Attack
93,84,96,75,82,Goal Attack
90,84,95,74,85,Goal Attack
94,96,98,72,88,Goal Attack
85,95,95,78,88,Goal Attack
89,82,94,74,87,Goal Attack
100,83,97,78,84,Goal Attack
93,84,92,72,87,Goal Attack
100,97,98,77,82,Goal Attack
80,100,91,78,87,Goal Attack
96,100,94,73,87,Goal Attack
97,96,98,70,89,Goal Attack
97,85,92,80,82,Goal Attack
99,82,92,72,86,Goal Attack
90,88,100,73,85,Goal Attack
94,80,92,73,81,Goal Attack
80,93,99,78,89,Goal Attack
94,98,95,80,81,Goal Attack
83,98,92,79,85,Goal Attack
96,90,96,73,87,Goal Attack
93,91,92,76,85,Goal Attack
85,80,95,75,83,Goal Attack
80,94,99,72,80,Goal Attack
99,94,92,71,81,Goal Attack
93,87,98,77,85,Goal Attack
98,90,96,76,81,Goal Attack
81,93,93,78,83,Goal Attack
89,91,90,79,85,Goal Attack
88,97,96,72,90,Goal Attack
87,98,94,76,84,Goal Attack
81,99,93,73,84,Goal Attack
99,97,95,71,86,Goal Attack
94,87,91,79,81,Goal Attack
95,80,98,80,85,Goal Attack
92,81,93,77,85,Goal Attack
96,80,94,80,85,Goal Attack
88,93,94,80,82,Goal Attack
89,85,92,73,82,Goal Attack
92,87,96,73,87,Goal Attack
81,97,100,80,89,Goal Attack
92,90,94,73,85,Goal Attack
91,84,96,75,85,Goal Attack
82,93,97,72,81,Goal Attack
94,100,96,72,85,Goal Attack
97,89,95,71,84,Goal Attack
81,89,91,77,83,Goal Attack
98,96,98,70,84,Goal Attack
100,94,90,71,89,Goal Attack
80,93,91,77,80,Goal Attack
90,87,97,70,86,Goal Attack
87,90,100,74,84,Goal Attack
85,92,99,78,83,Goal Attack
93,89,98,75,83,Goal Attack
82,95,99,75,89,Goal Attack
82,98,100,80,85,Goal Attack
90,97,97,79,85,Goal Attack
97,86,92,80,82,Goal Attack
83,89,93,76,80,Goal Attack
86,86,97,77,89,Goal Attack
85,86,100,79,85,Goal Attack
87,91,99,73,87,Goal Attack
93,81,98,71,80,Goal Attack
89,94,94,72,88,Goal Attack
97,86,100,79,83,Goal Attack
95,97,99,76,80,Goal Attack
83,81,99,76,88,Goal Attack
81,94,95,78,88,Goal Attack
88,98,90,70,80,Goal Attack
81,96,90,80,80,Goal Attack
80,99,99,73,86,Goal Attack
91,100,97,70,80,Goal Attack
84,94,99,70,86,Goal Attack
82,100,98,72,85,Goal Attack
89,81,93,80,84,Goal Attack
96,86,99,79,86,Goal Attack
92,90,100,78,82,Goal Attack
91,84,94,79,86,Goal Attack
81,91,98,78,85,Goal Attack
91,92,95,70,89,Goal Attack
91,91,96,75,87,Goal Attack
84,100,100,71,86,Goal Attack
89,95,93,74,82,Goal Attack
91,82,93,78,88,Goal Attack
91,85,90,70,80,Goal Attack
100,80,93,71,90,Goal Attack
91,97,93,80,86,Goal Attack
99,100,97,79,86,Goal Attack
98,82,100,80,83,Goal Attack
92,89,97,71,83,Goal Attack
95,82,94,73,82,Goal Attack
88,94,98,73,86,Goal Attack
98,83,95,71,83,Goal Attack
98,88,93,79,82,Goal Attack
89,84,97,76,80,Goal Attack
81,93,99,75,83,Goal Attack
97,83,94,80,80,Goal Attack
93,100,96,80,88,Goal Attack
96,82,93,76,82,Goal Attack
95,96,96,78,88,Goal Attack
88,89,98,73,82,Goal Attack
82,90,100,74,82,Goal Attack
83,88,93,74,83,Goal Attack
81,89,91,73,84,Goal Attack
80,83,97,76,80,Goal Attack
82,97,97,79,86,Goal Attack
86,96,96,76,85,Goal Attack
81,86,96,77,86,Goal Attack
99,97,98,72,81,Goal Attack
94,81,97,71,86,Goal Attack
85,89,98,73,85,Goal Attack
95,96,91,79,90,Goal Attack
82,85,99,80,81,Goal Attack
98,84,94,78,80,Goal Attack
94,84,93,74,88,Goal Attack
94,82,93,76,87,Goal Attack
84,88,93,75,85,Goal Attack
85,84,100,78,82,Goal Attack
96,91,93,80,86,Goal Attack
100,83,92,70,84,Goal Attack
93,87,99,72,84,Goal Attack
100,97,93,76,90,Goal Attack
91,80,92,72,89,Goal Attack
81,98,98,75,87,Goal Attack
80,97,100,77,88,Goal Attack
97,88,97,77,89,Goal Attack
91,95,96,74,84,Goal Attack
90,98,98,72,90,Goal Attack
94,96,90,75,81,Goal Attack
82,90,92,72,81,Goal Attack
91,94,99,74,86,Goal Attack
86,95,92,73,84,Goal Attack
96,85,97,80,84,Goal Attack
89,97,94,79,81,Goal Attack
99,93,90,74,85,Goal Attack
98,97,93,75,88,Goal Attack
99,93,92,73,84,Goal Attack
94,97,96,80,87,Goal Attack
84,85,96,72,83,Goal Attack
94,93,98,77,84,Goal Attack
92,84,96,73,84,Goal Attack
93,82,90,79,90,Goal Attack
92,93,92,78,88,Goal Attack
93,97,95,70,87,Goal Attack
93,82,95,78,90,Goal Attack
95,84,98,71,83,Goal Attack
97,85,93,74,85,Goal Attack
83,98,90,71,86,Goal Attack
93,99,91,71,90,Goal Attack
96,87,98,73,84,Goal Attack
96,100,92,73,87,Goal Attack
96,99,93,71,89,Goal Attack
84,84,92,76,83,Goal Attack
91,97,93,80,89,Goal Attack
99,94,96,78,85,Goal Attack
91,98,98,72,84,Goal Attack
99,87,90,73,90,Goal Attack
92,89,95,74,80,Goal Attack
93,83,97,71,85,Goal Attack
80,89,90,71,84,Goal Attack
91,96,95,76,87,Goal Attack
99,80,92,75,86,Goal Attack
81,87,92,76,87,Goal Attack
83,86,93,79,87,Goal Attack
90,97,91,72,90,Goal Attack
89,83,100,74,89,Goal Attack
83,91,93,75,81,Goal Attack
90,85,98,76,82,Goal Attack
82,81,98,75,90,Goal Attack
85,91,98,80,88,Goal Attack
83,98,100,70,85,Goal Attack
96,92,96,76,84,Goal Attack
91,86,92,73,86,Goal Attack
100,93,94,73,88,Goal Attack
84,98,95,73,80,Goal Attack
100,80,90,74,80,Goal Attack
93,88,97,76,86,Goal Attack
93,99,97,79,90,Goal Attack
100,83,100,77,83,Goal Attack
95,98,94,78,85,Goal Attack
81,83,92,76,80,Goal Attack
81,100,94,73,89,Goal Attack
87,92,99,70,86,Goal Attack
84,90,93,79,86,Goal Attack
92,84,100,74,87,Goal Attack
84,84,95,75,87,Goal Attack
92,99,91,80,90,Goal Attack
90,99,92,75,82,Goal Attack
88,89,92,77,88,Goal Attack
94,91,100,80,83,Goal Attack
89,82,90,78,88,Goal Attack
98,85,96,72,88,Goal Attack
94,91,92,78,85,Goal Attack
96,92,95,77,90,Goal Attack
89,93,100,80,82,Goal Attack
89,88,99,71,84,Goal Attack
89,87,97,75,85,Goal Attack
96,93,99,78,88,Goal Attack
97,80,97,76,89,Goal Attack
95,98,94,71,80,Goal Attack
83,88,91,72,81,Goal Attack
92,83,91,75,86,Goal Attack
97,89,92,72,86,Goal Attack
92,94,98,76,89,Goal Attack
99,84,95,70,88,Goal Attack
89,94,95,70,89,Goal Attack
91,87,96,79,87,Goal Attack
83,81,92,80,90,Goal Attack
93,96,96,79,86,Goal Attack
83,90,97,70,83,Goal Attack
95,97,90,78,84,Goal Attack
83,97,95,71,83,Goal Attack
83,87,94,70,87,Goal Attack
99,89,90,76,88,Goal Attack
88,91,97,71,86,Goal Attack
93,97,90,74,87,Goal Attack
98,91,90,77,87,Goal Attack
88,99,98,71,85,Goal Attack
85,88,98,78,81,Goal Attack
87,80,100,74,90,Goal Attack
80,80,93,77,90,Goal Attack
80,86,95,79,88,Goal Attack
97,84,99,70,81,Goal Attack
82,83,98,70,87,Goal Attack
91,88,97,80,86,Goal Attack
81,97,91,80,81,Goal Attack
100,97,96,74,85,Goal Attack
84,86,96,80,81,Goal Attack
83,86,95,71,81,Goal Attack
99,90,96,73,84,Goal Attack
95,84,100,73,83,Goal Attack
97,99,90,72,90,Goal Attack
81,84,90,77,90,Goal Attack
91,90,95,77,80,Goal Attack
82,81,92,79,83,Goal Attack
94,86,96,75,82,Goal Attack
84,84,93,76,86,Goal Attack
95,88,95,80,80,Goal Attack
80,86,97,74,82,Goal Attack
95,85,95,72,84,Goal Attack
84,81,92,75,84,Goal Attack
100,85,94,78,86,Goal Attack
95,95,99,75,87,Goal Attack
96,99,94,80,85,Goal Attack
92,96,96,72,88,Goal Attack
96,89,97,75,90,Goal Attack
99,92,90,77,89,Goal Attack
97,86,91,77,86,Goal Attack
80,85,94,75,86,Goal Attack
84,85,92,76,84,Goal Attack
84,83,94,78,89,Goal Attack
94,99,90,79,84,Goal Attack
100,91,97,80,85,Goal Attack
91,86,94,73,84,Goal Attack
92,85,99,72,84,Goal Attack
97,91,98,80,81,Goal Attack
89,83,98,78,81,Goal Attack
85,85,91,73,81,Goal Attack
96,93,96,75,88,Goal Attack
93,91,91,80,85,Goal Attack
83,97,90,74,80,Goal Attack
100,80,95,74,86,Goal Attack
82,92,91,72,85,Goal Attack
99,97,100,76,81,Goal Attack
100,91,96,80,83,Goal Attack
83,99,98,72,85,Goal Attack
86,95,97,75,80,Goal Attack
97,90,90,74,80,Goal Attack
94,99,93,72,83,Goal Attack
84,90,100,71,80,Goal Attack
95,94,100,77,83,Goal Attack
84,85,100,70,86,Goal Attack
100,89,90,79,87,Goal Attack
100,81,99,78,83,Goal Attack
84,90,98,76,81,Goal Attack
95,93,91,72,90,Goal Attack
93,97,98,73,88,Goal Attack
96,87,95,72,86,Goal Attack
80,89,97,73,89,Goal Attack
89,91,99,78,82,Goal Attack
92,85,93,77,87,Goal Attack
84,81,94,76,87,Goal Attack
100,85,100,74,80,Goal Attack
85,96,96,76,86,Goal Attack
95,96,95,73,81,Goal Attack
95,88,95,72,88,Goal Attack
85,94,98,75,88,Goal Attack
83,89,93,76,86,Goal Attack
95,81,91,71,80,Goal Attack
95,89,92,76,81,Goal Attack
90,93,97,78,87,Goal Attack
94,98,99,75,87,Goal Attack
82,84,100,72,84,Goal Attack
89,84,96,72,88,Goal Attack
98,89,97,70,89,Goal Attack
83,92,93,72,90,Goal Attack
91,83,91,80,86,Goal Attack
95,94,94,70,87,Goal Attack
95,88,99,73,90,Goal Attack
98,88,94,77,84,Goal Attack
86,100,98,72,84,Goal Attack
82,88,100,70,90,Goal Attack
91,99,96,77,90,Goal Attack
90,90,97,70,88,Goal Attack
89,82,92,77,85,Goal Attack
81,85,90,76,86,Goal Attack
91,100,93,73,88,Goal Attack
93,81,97,70,86,Goal Attack
99,99,95,73,87,Goal Attack
87,90,99,76,86,Goal Attack
85,93,99,70,89,Goal Attack
90,94,96,80,81,Goal Attack
99,90,98,80,83,Goal Attack
87,85,90,74,87,Goal Attack
100,87,92,72,89,Goal Attack
94,89,99,72,81,Goal Attack
81,85,96,76,89,Goal Attack
81,91,98,73,87,Goal Attack
82,82,91,70,84,Goal Attack
92,85,90,70,90,Goal Attack
92,80,92,71,87,Goal Attack
92,83,94,76,88,Goal Attack
100,83,93,78,86,Goal Attack
97,100,92,76,80,Goal Attack
93,92,91,74,86,Goal Attack
83,98,99,71,83,Goal Attack
84,89,94,71,87,Goal Attack
86,90,99,74,82,Goal Attack
85,80,100,73,86,Goal Attack
89,89,100,74,83,Goal Attack
97,92,98,79,85,Goal Attack
99,84,96,77,83,Goal Attack
88,87,96,77,87,Goal Attack
95,88,100,72,80,Goal Attack
100,98,93,71,89,Goal Attack
97,83,96,73,90,Goal Attack
85,94,96,70,89,Goal Attack
81,91,93,79,90,Goal Attack
87,93,97,77,83,Goal Attack
90,80,95,74,83,Goal Attack
98,85,94,75,86,Goal Attack
84,97,99,75,85,Goal Attack
89,99,92,72,83,Goal Attack
92,93,97,74,84,Goal Attack
98,100,96,73,83,Goal Attack
98,99,97,74,81,Goal Attack
95,93,95,78,88,Goal Attack
95,88,90,76,86,Goal Attack
97,89,92,73,82,Goal Attack
99,90,91,80,80,Goal Attack
97,88,92,76,82,Goal Attack
86,87,91,75,86,Goal Attack
87,81,91,80,81,Goal Attack
80,87,95,79,89,Goal Attack
82,91,99,78,87,Goal Attack
87,89,93,71,85,Goal Attack
87,97,92,78,86,Goal Attack
93,99,92,76,87,Goal Attack
85,90,91,75,82,Goal Attack
87,93,98,76,85,Goal Attack
90,98,97,78,89,Goal Attack
88,96,90,77,83,Goal Attack
80,93,94,79,80,Goal Attack
85,91,91,73,90,Goal Attack
90,91,100,71,84,Goal Attack
91,84,93,74,90,Goal Attack
90,81,100,78,84,Goal Attack
94,96,94,79,86,Goal Attack
81,94,99,79,80,Goal Attack
92,90,98,75,81,Goal Attack
91,96,96,71,86,Goal Attack
91,81,94,70,85,Goal Attack
85,94,92,74,87,Goal Attack
92,96,98,80,83,Goal Attack
92,82,99,76,89,Goal Attack
93,100,92,71,80,Goal Attack
100,80,93,78,81,Goal Attack
99,87,94,72,82,Goal Attack
97,100,92,80,81,Goal Attack
98,96,100,70,88,Goal Attack
93,92,94,78,81,Goal Attack
96,89,99,72,82,Goal Attack
96,92,98,73,81,Goal Attack
95,91,93,74,87,Goal Attack
97,80,99,71,82,Goal Attack
89,95,100,70,90,Goal Attack
83,87,91,74,88,Goal Attack
80,83,100,74,80,Goal Attack
90,88,100,70,85,Goal Attack
94,99,92,72,89,Goal Attack
80,85,97,74,83,Goal Attack
96,86,97,74,81,Goal Attack
83,92,92,76,85,Goal Attack
100,83,93,79,85,Goal Attack
97,95,98,79,87,Goal Attack
94,81,100,76,81,Goal Attack
84,83,94,75,87,Goal Attack
82,86,95,80,90,Goal Attack
99,83,94,75,88,Goal Attack
85,80,98,75,82,Goal Attack
97,83,96,77,82,Goal Attack
83,95,80,98,17,Goal Defence
90,85,72,100,13,Goal Defence
87,84,79,100,6,Goal Defence
100,86,76,90,16,Goal Defence
86,86,79,91,12,Goal Defence
95,89,73,100,6,Goal Defence
95,89,76,91,15,Goal Defence
93,81,70,96,20,Goal Defence
99,92,78,98,13,Goal Defence
99,98,70,99,0,Goal Defence
97,89,76,99,4,Goal Defence
92,82,78,92,14,Goal Defence
99,95,71,100,3,Goal Defence
81,83,72,91,3,Goal Defence
99,85,70,97,19,Goal Defence
90,83,78,90,3,Goal Defence
91,83,78,97,18,Goal Defence
85,96,80,95,18,Goal Defence
92,97,71,92,11,Goal Defence
83,86,73,94,3,Goal Defence
96,84,77,90,13,Goal Defence
96,97,80,96,2,Goal Defence
91,96,72,94,9,Goal Defence
99,88,77,93,12,Goal Defence
91,84,80,94,17,Goal Defence
92,86,70,94,12,Goal Defence
98,94,75,91,6,Goal Defence
98,99,71,97,19,Goal Defence
88,85,80,91,5,Goal Defence
98,95,74,99,7,Goal Defence
87,96,77,96,17,Goal Defence
83,96,80,99,0,Goal Defence
87,93,72,95,14,Goal Defence
87,95,78,91,11,Goal Defence
86,96,74,99,15,Goal Defence
96,97,76,91,3,Goal Defence
83,88,73,98,19,Goal Defence
81,94,79,92,10,Goal Defence
97,85,80,98,18,Goal Defence
91,84,80,95,14,Goal Defence
90,85,79,96,5,Goal Defence
82,90,74,90,18,Goal Defence
100,92,78,90,16,Goal Defence
88,86,76,90,14,Goal Defence
93,86,78,100,11,Goal Defence
100,96,71,92,15,Goal Defence
92,97,80,100,0,Goal Defence
85,83,79,93,17,Goal Defence
87,84,76,97,17,Goal Defence
98,96,71,95,3,Goal Defence
90,97,73,90,20,Goal Defence
82,80,78,90,11,Goal Defence
99,91,73,96,12,Goal Defence
88,90,71,90,12,Goal Defence
95,84,72,98,3,Goal Defence
95,86,72,100,8,Goal Defence
84,96,79,91,19,Goal Defence
95,89,74,100,3,Goal Defence
94,98,75,99,4,Goal Defence
86,100,79,94,14,Goal Defence
80,93,79,95,12,Goal Defence
93,86,75,92,3,Goal Defence
90,97,80,100,9,Goal Defence
91,88,73,97,1,Goal Defence
95,80,76,98,3,Goal Defence
80,81,76,95,15,Goal Defence
85,96,72,91,3,Goal Defence
97,94,75,92,15,Goal Defence
96,87,78,91,17,Goal Defence
80,97,70,92,11,Goal Defence
86,93,73,98,17,Goal Defence
100,93,80,100,7,Goal Defence
99,97,78,99,2,Goal Defence
96,96,72,99,12,Goal Defence
98,87,70,95,1,Goal Defence
83,86,73,92,16,Goal Defence
95,89,71,93,14,Goal Defence
80,84,77,94,9,Goal Defence
93,83,77,100,12,Goal Defence
89,95,76,100,10,Goal Defence
89,80,80,97,2,Goal Defence
86,90,70,93,11,Goal Defence
86,100,71,97,12,Goal Defence
97,86,78,90,17,Goal Defence
96,94,70,94,17,Goal Defence
80,95,76,93,12,Goal Defence
94,88,70,92,17,Goal Defence
93,84,74,93,20,Goal Defence
98,81,80,91,18,Goal Defence
98,89,79,90,0,Goal Defence
92,92,74,100,16,Goal Defence
89,99,74,94,13,Goal Defence
93,87,79,92,4,Goal Defence
90,96,71,95,12,Goal Defence
99,98,74,92,3,Goal Defence
84,80,78,94,5,Goal Defence
82,97,80,95,9,Goal Defence
97,91,75,93,19,Goal Defence
100,90,72,92,15,Goal Defence
99,93,77,92,3,Goal Defence
83,80,72,93,8,Goal Defence
99,85,71,96,10,Goal Defence
94,87,74,92,13,Goal Defence
93,89,71,97,0,Goal Defence
86,86,76,93,2,Goal Defence
95,83,80,93,1,Goal Defence
82,90,74,92,19,Goal Defence
94,87,71,98,3,Goal Defence
99,83,70,99,20,Goal Defence
89,95,79,91,15,Goal Defence
88,92,72,95,15,Goal Defence
96,96,73,99,9,Goal Defence
80,83,70,94,6,Goal Defence
99,100,76,94,10,Goal Defence
90,85,71,91,13,Goal Defence
88,88,77,96,1,Goal Defence
98,98,72,97,7,Goal Defence
84,93,70,93,4,Goal Defence
87,88,71,95,19,Goal Defence
98,94,72,92,11,Goal Defence
88,86,76,100,4,Goal Defence
93,81,77,100,18,Goal Defence
99,89,72,90,3,Goal Defence
80,99,74,94,16,Goal Defence
88,88,79,90,19,Goal Defence
81,93,79,100,3,Goal Defence
82,87,71,90,15,Goal Defence
83,96,71,97,3,Goal Defence
99,94,75,97,4,Goal Defence
95,82,79,96,12,Goal Defence
91,88,74,91,18,Goal Defence
95,82,73,93,16,Goal Defence
98,99,72,94,12,Goal Defence
96,97,73,91,8,Goal Defence
82,87,74,99,6,Goal Defence
90,86,79,91,13,Goal Defence
92,97,73,92,1,Goal Defence
97,80,70,95,2,Goal Defence
82,89,75,94,19,Goal Defence
88,88,74,96,15,Goal Defence
93,99,72,96,17,Goal Defence
86,82,80,99,2,Goal Defence
97,80,74,100,16,Goal Defence
98,91,80,97,12,Goal Defence
83,91,76,100,8,Goal Defence
83,94,72,97,13,Goal Defence
85,92,77,95,10,Goal Defence
92,86,74,94,3,Goal Defence
92,100,70,95,5,Goal Defence
80,90,72,90,6,Goal Defence
84,87,80,99,7,Goal Defence
90,99,70,100,0,Goal Defence
88,82,70,99,9,Goal Defence
93,89,77,98,2,Goal Defence
80,99,79,92,15,Goal Defence
92,85,74,93,5,Goal Defence
96,80,80,94,7,Goal Defence
100,81,79,91,12,Goal Defence
87,91,80,97,5,Goal Defence
97,88,77,92,17,Goal Defence
88,94,75,96,5,Goal Defence
99,88,75,96,1,Goal Defence
94,86,70,90,5,Goal Defence
92,83,77,90,20,Goal Defence
91,88,76,90,17,Goal Defence
84,80,75,99,10,Goal Defence
90,88,73,91,1,Goal Defence
85,95,71,98,13,Goal Defence
88,80,73,98,4,Goal Defence
94,84,75,94,17,Goal Defence
81,90,77,98,20,Goal Defence
100,92,70,99,17,Goal Defence
98,100,71,92,1,Goal Defence
89,90,77,96,13,Goal Defence
84,90,77,96,15,Goal Defence
99,88,76,95,1,Goal Defence
98,93,74,97,11,Goal Defence
89,91,74,92,15,Goal Defence
89,97,72,97,20,Goal Defence
90,96,80,95,4,Goal Defence
98,90,71,90,15,Goal Defence
98,88,73,96,12,Goal Defence
80,96,77,97,4,Goal Defence
95,98,76,91,6,Goal Defence
90,82,71,94,14,Goal Defence
91,96,70,98,10,Goal Defence
84,92,76,99,11,Goal Defence
89,91,77,92,5,Goal Defence
94,83,70,93,17,Goal Defence
86,85,73,91,19,Goal Defence
81,87,71,90,3,Goal Defence
81,87,74,93,17,Goal Defence
86,85,73,95,3,Goal Defence
92,91,80,100,9,Goal Defence
87,92,79,97,3,Goal Defence
92,91,79,91,7,Goal Defence
100,85,71,98,9,Goal Defence
83,87,78,94,11,Goal Defence
94,89,73,93,12,Goal Defence
94,82,78,92,8,Goal Defence
81,96,70,92,20,Goal Defence
97,87,77,98,17,Goal Defence
89,91,71,91,3,Goal Defence
97,89,70,98,19,Goal Defence
81,89,77,92,11,Goal Defence
85,90,75,94,18,Goal Defence
99,86,80,94,7,Goal Defence
93,81,72,98,9,Goal Defence
98,95,74,91,12,Goal Defence
91,93,72,98,8,Goal Defence
97,80,71,95,11,Goal Defence
90,95,73,90,6,Goal Defence
98,98,75,94,5,Goal Defence
91,90,75,90,17,Goal Defence
93,98,77,98,10,Goal Defence
91,97,76,96,19,Goal Defence
85,82,80,98,10,Goal Defence
98,92,71,100,2,Goal Defence
92,81,78,96,4,Goal Defence
89,100,72,95,12,Goal Defence
94,95,78,99,4,Goal Defence
89,96,70,93,8,Goal Defence
91,98,78,95,3,Goal Defence
92,86,72,95,5,Goal Defence
85,86,79,90,6,Goal Defence
96,95,73,91,15,Goal Defence
86,85,70,95,6,Goal Defence
87,80,72,99,8,Goal Defence
99,99,79,94,3,Goal Defence
95,86,70,90,2,Goal Defence
83,95,78,96,2,Goal Defence
85,81,72,92,1,Goal Defence
93,80,79,100,18,Goal Defence
93,87,74,90,10,Goal Defence
89,99,70,91,7,Goal Defence
83,94,78,91,2,Goal Defence
97,92,80,97,13,Goal Defence
80,85,76,97,20,Goal Defence
91,85,71,96,3,Goal Defence
92,97,72,94,16,Goal Defence
83,94,76,92,10,Goal Defence
82,96,77,91,19,Goal Defence
91,94,74,90,1,Goal Defence
98,85,74,94,19,Goal Defence
83,90,74,94,9,Goal Defence
93,100,78,98,0,Goal Defence
80,96,80,95,8,Goal Defence
89,99,71,91,2,Goal Defence
85,99,77,92,8,Goal Defence
100,86,71,93,9,Goal Defence
83,90,77,93,3,Goal Defence
92,99,79,95,11,Goal Defence
92,80,79,95,14,Goal Defence
86,85,73,91,4,Goal Defence
83,98,80,95,11,Goal Defence
92,86,80,96,3,Goal Defence
96,99,75,96,20,Goal Defence
98,100,75,91,15,Goal Defence
99,80,71,96,10,Goal Defence
90,83,76,100,15,Goal Defence
81,82,77,95,17,Goal Defence
100,100,70,95,3,Goal Defence
96,87,70,90,15,Goal Defence
98,84,72,91,9,Goal Defence
95,85,80,92,11,Goal Defence
80,98,79,91,20,Goal Defence
87,97,72,92,18,Goal Defence
99,100,70,92,3,Goal Defence
92,96,76,99,5,Goal Defence
96,99,80,94,20,Goal Defence
80,92,80,90,5,Goal Defence
